feature,importance
weather_score,0.30380573141629424
dep_hour,0.15997803381863385
month,0.09386932587926647
distance_km,0.04387330226702176
is_holiday_season,0.04335341998490714
airline_Emirates,0.021316393151148548
day_of_week_Thu,0.021166266928885118
day_of_week_Fri,0.020238773736775042
day_of_week_Sat,0.019919165211534067
airline_Singapore Airlines,0.019050109361336384
destination_JNB,0.01857093507697377
airline_Qatar Airways,0.01848111125525367
airline_British Airways,0.01838391293631428
day_of_week_Tue,0.017522216201524592
day_of_week_Sun,0.017347169829955204
airline_Etihad,0.016923944637966537
day_of_week_Mon,0.016638727504724664
airline_Turkish Airlines,0.016592930236694368
day_of_week_Wed,0.015671749079572368
destination_CDG,0.012891508561504835
destination_FRA,0.012730145782651971
destination_SIN,0.011776722266688666
destination_BKK,0.011386384849485657
destination_LHR,0.011302683644219658
destination_NRT,0.010451493415352156
destination_BOM,0.009422484594156275
destination_SYD,0.008745230529651616
destination_JFK,0.008590127841507061
